activation,hidden_size,depth,train_error,test_error
tanh,5,3,0.0028858411240249224,0.0032147890356236802
tanh,10,3,0.0005926076056749531,0.0007587720390142339
tanh,25,3,9.364492940852375e-05,0.00015301065901942917
tanh,50,3,2.832259882723522e-05,5.867692894691449e-05
tanh,100,3,1.1346108790667287e-05,2.497064655880329e-05
tanh,5,5,0.001660742283714283,0.008391253043615626
tanh,10,5,0.00038694257112984446,0.00038846029603960204
tanh,25,5,4.417436495472102e-05,5.0166385109608205e-05
tanh,50,5,1.4051855560811824e-05,1.7901356662702905e-05
tanh,100,5,4.472557133388193e-06,1.3293876531086696e-05
tanh,5,9,0.0012353534014183432,0.0012357237063841018
tanh,10,9,0.00025899707716349707,0.016312365054381772
tanh,25,9,5.3641998801193544e-05,5.383010045876064e-05
tanh,50,9,1.4985274330671221e-05,1.5024112385189309e-05
tanh,100,9,4.715315640560711e-06,5.579167088557686e-06
relu,5,3,0.00046473327859349755,0.0004167315423701384
relu,10,3,0.00020056899703678758,0.0001729846237325918
relu,25,3,4.599220730897882e-05,4.413807134468896e-05
relu,50,3,7.55250381146668e-06,1.0546781178238384e-05
relu,100,3,2.146735493348684e-06,2.5367027293203913e-06
relu,5,5,0.000146375400867689,0.00020385660051153778
relu,10,5,2.771555934103749e-05,0.001032596847206712
relu,25,5,5.36899322067951e-06,4.810858400106556e-06
relu,50,5,1.6036128101190565e-06,1.82439691317631e-06
relu,100,5,3.341093185290917e-08,4.203265698219285e-08
relu,5,9,0.00012488217728199395,0.0056162748132883205
relu,10,9,5.955072860856161e-06,5.8231365777074955e-06
relu,25,9,4.463513092270574e-07,4.660743110832584e-05
relu,50,9,7.004564255983165e-08,5.714529569904517e-08
relu,100,9,8.612274758256657e-09,6.612518433708484e-09
tanh,5,3,0.003369004331447877,0.0059133245365205174
tanh,10,3,0.0013466617310351247,0.0013651093318759798
tanh,25,3,0.0002205116930858785,0.00032879497665997765
tanh,50,3,7.021708987631469e-05,0.00011728883375421181
tanh,100,3,1.956899593569771e-05,2.1693001959457963e-05
tanh,5,5,0.003220724379515487,0.0075722409571840135
tanh,10,5,0.0009539746825051858,0.0009758458937049837
tanh,25,5,0.00020288282916274342,0.00042819362485436963
tanh,50,5,4.7307419757389207e-05,5.074222222056178e-05
tanh,100,5,1.5966606181516952e-05,1.6456990583728857e-05
tanh,5,9,0.012459161444369331,0.030424376777961164
tanh,10,9,0.0016866235439927583,0.0016556929774537593
tanh,25,9,0.00015592841500265098,0.016790083705843985
tanh,50,9,3.551928825596514e-05,3.673146470928824e-05
tanh,100,9,1.2242012109080715e-05,2.8921696485815415e-05
relu,5,3,0.00030289768904552344,0.0003524895033982017
relu,10,3,0.0003543087837776347,0.00042412055522809554
relu,25,3,5.8322994361325947e-05,5.361778440733169e-05
relu,50,3,1.1514317421579076e-05,2.3590466470935212e-05
relu,100,3,1.5063767457770343e-06,1.5479750008020434e-06
relu,5,5,0.00026364508069498733,0.0030735937834396316
relu,10,5,0.00011341314858034259,0.00011735613585522275
relu,25,5,5.164759609382222e-06,5.152915881699235e-05
relu,50,5,1.0293713943095101e-06,0.00023502935657494743
relu,100,5,1.753219277229734e-08,3.0130984607673945e-08
relu,5,9,0.00010040340830290739,0.00022957972407026202
relu,10,9,1.3207471667230303e-05,3.649256176411104e-05
relu,25,9,3.005089168412339e-06,0.00015625554252566561
relu,50,9,1.7209825001992448e-07,1.941026899982703e-07
relu,100,9,1.0469655481085733e-08,5.449369373666504e-09
