model,C,kernel_gamma,test_error,train_error,w0,w1,w2,w3,w4,n_support_vectors
DualSVM,0.115,nan,0.078,0.071,0.0,-0.943,-0.651,-0.734,-0.041,45
KernelSVM,0.115,0.1,0.002,0.0,-0.0,-176.128,-239.813,47.877,-0.709,868
KernelSVM,0.115,0.5,0.002,0.0,-0.0,-170.685,-235.393,44.98,1.479,825
KernelSVM,0.115,1.5,0.002,0.0,-0.0,-156.824,-215.857,41.95,1.322,759
KernelSVM,0.115,1.0,0.002,0.0,-0.0,-168.044,-229.84,42.457,1.376,805
KernelSVM,0.115,5.0,0.006,0.008,0.0,-86.504,-123.92,39.03,-0.904,442
KernelSVM,0.115,100.0,0.004,0.003,-0.0,-39.343,-35.185,-8.521,1.221,290
DualSVM,0.573,nan,0.066,0.056,0.0,-1.564,-1.014,-1.181,-0.157,31
KernelSVM,0.573,0.1,0.002,0.0,-0.0,-877.172,-1196.734,243.458,-1.615,868
KernelSVM,0.573,0.5,0.002,0.0,-0.0,-576.517,-852.381,234.736,14.165,731
KernelSVM,0.573,1.5,0.002,0.0,-0.0,-285.355,-426.83,142.269,0.792,463
KernelSVM,0.573,1.0,0.002,0.0,-0.0,-384.263,-577.327,183.415,5.418,556
KernelSVM,0.573,5.0,0.002,0.0,-0.0,-107.378,-163.195,60.534,-2.142,208
KernelSVM,0.573,100.0,0.0,0.0,0.0,-48.926,-37.961,-18.771,7.38,116
DualSVM,0.802,nan,0.062,0.056,-0.0,-2.043,-1.281,-1.514,-0.249,31
KernelSVM,0.802,0.1,0.002,0.0,-0.0,-1146.503,-1594.709,367.885,9.348,867
KernelSVM,0.802,0.5,0.002,0.0,0.0,-625.788,-936.612,272.944,14.808,694
KernelSVM,0.802,1.5,0.002,0.0,-0.0,-292.862,-435.896,145.24,-0.452,440
KernelSVM,0.802,1.0,0.002,0.0,0.0,-398.559,-594.959,190.285,3.889,528
KernelSVM,0.802,5.0,0.002,0.0,-0.0,-108.957,-163.438,60.56,-2.546,193
KernelSVM,0.802,100.0,0.0,0.0,-0.0,-50.071,-41.175,-21.259,11.685,99
