model,C,kernel_gamma,test_error,train_error
DualSVM,0.1145475372279496,,0.0781563126252505,0.0711825487944891
KernelSVM,0.1145475372279496,0.1,0.002004008016032064,0.0
KernelSVM,0.1145475372279496,0.5,0.002004008016032064,0.0
KernelSVM,0.1145475372279496,1.5,0.002004008016032064,0.0
KernelSVM,0.1145475372279496,1.0,0.002004008016032064,0.0
KernelSVM,0.1145475372279496,5.0,0.006012024048096192,0.008036739380022962
KernelSVM,0.1145475372279496,100.0,0.004008016032064128,0.003444316877152698
DualSVM,0.572737686139748,,0.06613226452905811,0.05625717566016074
KernelSVM,0.572737686139748,0.1,0.002004008016032064,0.0
KernelSVM,0.572737686139748,0.5,0.002004008016032064,0.0
KernelSVM,0.572737686139748,1.5,0.002004008016032064,0.0
KernelSVM,0.572737686139748,1.0,0.002004008016032064,0.0
KernelSVM,0.572737686139748,5.0,0.002004008016032064,0.0
KernelSVM,0.572737686139748,100.0,0.0,0.0
DualSVM,0.8018327605956472,,0.06212424849699399,0.05625717566016074
KernelSVM,0.8018327605956472,0.1,0.002004008016032064,0.0
KernelSVM,0.8018327605956472,0.5,0.002004008016032064,0.0
KernelSVM,0.8018327605956472,1.5,0.002004008016032064,0.0
KernelSVM,0.8018327605956472,1.0,0.002004008016032064,0.0
KernelSVM,0.8018327605956472,5.0,0.002004008016032064,0.0
KernelSVM,0.8018327605956472,100.0,0.0,0.0
